team_season_id,franchise,season,display,division,games,record,pts_scored_mean,pts_scored_sd,pts_allowed_mean,pts_allowed_sd,point_diff_pg,strength_z,eligible_qb,eligible_rb,eligible_wr,eligible_te
NYG-2001,NYG,2001,2001 New York Giants,NFC East,16,7-9,18.38,5.67,20.06,9.84,-1.688,-0.275,1,4,5,1
NYJ-2001,NYJ,2001,2001 New York Jets,AFC East,16,10-6,19.25,8.93,18.44,12.23,0.813,0.133,1,3,4,1
PHI-2001,PHI,2001,2001 Philadelphia Eagles,NFC East,16,11-5,21.44,12.37,13,6.21,8.438,1.377,1,5,5,3
PIT-2001,PIT,2001,2001 Pittsburgh Steelers,AFC North,16,13-3,22,10.36,13.25,6.99,8.75,1.427,1,3,5,2
SEA-2001,SEA,2001,2001 Seattle Seahawks,NFC West,16,9-7,18.81,9.61,20.25,8.77,-1.438,-0.235,1,2,5,2
SF-2001,SF,2001,2001 San Francisco 49ers,NFC West,16,12-4,25.56,8.6,17.63,12.12,7.938,1.295,1,4,5,1
TB-2001,TB,2001,2001 Tampa Bay Buccaneers,NFC South,16,9-7,20.25,11.42,17.5,6.84,2.75,0.449,1,4,5,2
TEN-2001,TEN,2001,2001 Tennessee Titans,AFC South,16,7-9,21,9.74,24.25,10.48,-3.25,-0.53,1,3,4,2
WAS-2001,WAS,2001,2001 Washington Redskins,NFC East,16,8-8,16,10.86,18.94,10.95,-2.938,-0.479,1,2,6,2
ARI-2002,ARI,2002,2002 Arizona Cardinals,NFC West,16,5-11,16.38,8.11,26.06,12.73,-9.688,-1.747,1,3,6,1
ATL-2002,ATL,2002,2002 Atlanta Falcons,NFC South,16,9-6-1,25.13,10.52,19.63,12.39,5.5,0.992,1,2,4,3
BAL-2002,BAL,2002,2002 Baltimore Ravens,AFC North,16,7-9,19.75,10.38,22.13,8.03,-2.375,-0.428,1,3,4,3
BUF-2002,BUF,2002,2002 Buffalo Bills,AFC East,16,8-8,23.69,11.52,24.81,11.92,-1.125,-0.203,1,3,4,2
CAR-2002,CAR,2002,2002 Carolina Panthers,NFC South,16,7-9,16.13,12.59,18.88,11.18,-2.75,-0.496,1,4,4,3
CHI-2002,CHI,2002,2002 Chicago Bears,NFC North,16,4-12,17.56,7.92,23.69,7.02,-6.125,-1.104,2,4,4,1
CIN-2002,CIN,2002,2002 Cincinnati Bengals,AFC North,16,2-14,17.44,10.18,28.5,10.71,-11.063,-1.995,1,3,5,1
CLE-2002,CLE,2002,2002 Cleveland Browns,AFC North,16,9-7,21.5,9.38,20,7.81,1.5,0.27,1,3,5,2
DAL-2002,DAL,2002,2002 Dallas Cowboys,NFC East,16,5-11,13.56,7.59,20.56,9.94,-7,-1.262,1,3,5,3
DEN-2002,DEN,2002,2002 Denver Broncos,AFC West,16,9-7,24.5,7.59,21.5,9.11,3,0.541,1,4,4,2
DET-2002,DET,2002,2002 Detroit Lions,NFC North,16,3-13,19.13,7.73,28.19,10.34,-9.063,-1.634,2,3,6,2
GB-2002,GB,2002,2002 Green Bay Packers,NFC North,16,12-4,24.88,9.65,20.5,11.48,4.375,0.789,1,4,4,2
HOU-2002,HOU,2002,2002 Houston Texans,AFC South,16,4-12,13.31,8.16,22.25,9.18,-8.938,-1.612,1,3,5,1
IND-2002,IND,2002,2002 Indianapolis Colts,AFC South,16,10-6,21.81,6.43,19.56,10.75,2.25,0.406,1,2,4,2
JAX-2002,JAX,2002,2002 Jacksonville Jaguars,AFC South,16,6-10,20.5,6.3,19.69,6.9,0.813,0.147,1,3,5,2
KC-2002,KC,2002,2002 Kansas City Chiefs,AFC West,16,8-8,29.19,14.05,24.94,12.07,4.25,0.766,1,3,4,1
LAC-2002,LAC,2002,2002 San Diego Chargers,AFC West,16,8-8,20.81,9.47,22.94,10.41,-2.125,-0.383,1,4,3,3
LAR-2002,LAR,2002,2002 St. Louis Rams,NFC West,16,7-9,19.75,9.62,23.06,9.97,-3.313,-0.597,0,3,5,2
LV-2002,LV,2002,2002 Oakland Raiders,AFC West,16,11-5,28.13,11.66,19,8.02,9.125,1.645,1,3,4,3
MIA-2002,MIA,2002,2002 Miami Dolphins,AFC East,16,9-7,23.63,9.67,18.81,12.08,4.813,0.868,1,3,4,2
MIN-2002,MIN,2002,2002 Minnesota Vikings,NFC North,16,6-10,24.38,8.4,27.63,10.41,-3.25,-0.586,1,2,5,2
NE-2002,NE,2002,2002 New England Patriots,AFC East,16,9-7,23.81,11.17,21.63,8.7,2.188,0.395,1,3,5,3
NO-2002,NO,2002,2002 New Orleans Saints,NFC South,16,9-7,27,10.25,24.25,6.01,2.75,0.496,1,3,5,2
NYG-2002,NYG,2002,2002 New York Giants,NFC East,16,10-6,20,11.44,17.44,6.84,2.563,0.462,1,4,3,3
NYJ-2002,NYJ,2002,2002 New York Jets,AFC East,16,9-7,22.44,12.83,21,9.83,1.438,0.259,1,3,3,1
PHI-2002,PHI,2002,2002 Philadelphia Eagles,NFC East,16,12-4,25.94,11.07,15.06,9.44,10.875,1.961,1,5,5,2
PIT-2002,PIT,2002,2002 Pittsburgh Steelers,AFC North,16,10-5-1,24.38,8.32,21.56,9.29,2.813,0.507,1,3,5,2
SEA-2002,SEA,2002,2002 Seattle Seahawks,NFC West,16,7-9,22.19,11.91,23.06,9.5,-0.875,-0.158,1,2,5,2
SF-2002,SF,2002,2002 San Francisco 49ers,NFC West,16,10-6,22.94,8.01,21.94,8.32,1,0.18,1,3,5,1
TB-2002,TB,2002,2002 Tampa Bay Buccaneers,NFC South,16,12-4,21.63,8.75,12.25,8.52,9.375,1.691,1,2,4,3
TEN-2002,TEN,2002,2002 Tennessee Titans,AFC South,16,11-5,22.94,6.92,20.25,12.01,2.688,0.485,1,3,5,2
WAS-2002,WAS,2002,2002 Washington Redskins,NFC East,16,7-9,19.19,7.99,22.81,10.34,-3.625,-0.654,1,4,6,2
ARI-2003,ARI,2003,2003 Arizona Cardinals,NFC West,16,4-12,14.06,7.33,28.25,11.46,-14.188,-2.302,1,5,3,1
ATL-2003,ATL,2003,2003 Atlanta Falcons,NFC South,16,5-11,18.69,9.94,26.38,11.31,-7.688,-1.247,1,4,3,2
BAL-2003,BAL,2003,2003 Baltimore Ravens,AFC North,16,10-6,24.44,11.34,17.56,11.94,6.875,1.115,1,3,3,2
BUF-2003,BUF,2003,2003 Buffalo Bills,AFC East,16,6-10,15.19,11.28,17.44,10.5,-2.25,-0.365,1,3,4,1
CAR-2003,CAR,2003,2003 Carolina Panthers,NFC South,16,11-5,20.31,6.35,19,7.76,1.313,0.213,1,4,4,1
CHI-2003,CHI,2003,2003 Chicago Bears,NFC North,16,7-9,17.69,7.24,21.63,12.21,-3.938,-0.639,2,3,6,1
CIN-2003,CIN,2003,2003 Cincinnati Bengals,AFC North,16,8-8,21.63,10.02,24,6.11,-2.375,-0.385,1,3,3,3
CLE-2003,CLE,2003,2003 Cleveland Browns,AFC North,16,5-11,15.88,11.28,20.13,11.31,-4.25,-0.69,2,2,5,1
DAL-2003,DAL,2003,2003 Dallas Cowboys,NFC East,16,10-6,18.06,10.98,16.25,12.14,1.813,0.294,1,2,4,3
DEN-2003,DEN,2003,2003 Denver Broncos,AFC West,16,10-6,23.81,11.44,18.81,8.01,5,0.811,1,4,4,1
DET-2003,DET,2003,2003 Detroit Lions,NFC North,16,5-11,16.88,9.11,23.69,9.56,-6.813,-1.105,1,2,3,2
GB-2003,GB,2003,2003 Green Bay Packers,NFC North,16,10-6,27.63,9.24,19.19,10.36,8.438,1.369,1,3,5,3
HOU-2003,HOU,2003,2003 Houston Texans,AFC South,16,5-11,15.94,7.33,23.75,9.57,-7.813,-1.268,1,4,4,2
IND-2003,IND,2003,2003 Indianapolis Colts,AFC South,16,12-4,27.94,11.26,21,10.12,6.938,1.126,1,3,4,2
JAX-2003,JAX,2003,2003 Jacksonville Jaguars,AFC South,16,5-11,17.25,6.88,20.69,8.94,-3.438,-0.558,1,4,4,2
KC-2003,KC,2003,2003 Kansas City Chiefs,AFC West,16,13-3,30.25,9.66,20.75,12.35,9.5,1.541,1,2,4,1
LAC-2003,LAC,2003,2003 San Diego Chargers,AFC West,16,4-12,19.56,9.51,27.56,9.17,-8,-1.298,1,3,4,2
LAR-2003,LAR,2003,2003 St. Louis Rams,NFC West,16,12-4,27.94,9.33,20.5,7.62,7.438,1.207,1,3,4,2
LV-2003,LV,2003,2003 Oakland Raiders,AFC West,16,4-12,16.88,8.49,23.69,7.27,-6.813,-1.105,1,4,6,3
MIA-2003,MIA,2003,2003 Miami Dolphins,AFC East,16,10-6,19.44,9.27,16.31,9.09,3.125,0.507,1,4,3,1
MIN-2003,MIN,2003,2003 Minnesota Vikings,NFC North,16,9-7,26,9.24,22.06,11.64,3.938,0.639,1,3,5,1
NE-2003,NE,2003,2003 New England Patriots,AFC East,16,14-2,21.75,10.57,14.88,11.4,6.875,1.115,1,3,4,2
NO-2003,NO,2003,2003 New Orleans Saints,NFC South,16,8-8,21.25,10.99,20.38,11.74,0.875,0.142,1,2,4,2
NYG-2003,NYG,2003,2003 New York Giants,NFC East,16,4-12,15.19,10.09,24.19,8.82,-9,-1.46,1,4,4,2
NYJ-2003,NYJ,2003,2003 New York Jets,AFC East,16,6-10,17.69,8.54,18.69,9.44,-1,-0.162,1,2,3,2
PHI-2003,PHI,2003,2003 Philadelphia Eagles,NFC East,16,12-4,23.38,9.46,17.94,7.58,5.438,0.882,1,3,5,2
PIT-2003,PIT,2003,2003 Pittsburgh Steelers,AFC North,16,6-10,18.75,9.76,20.44,10.91,-1.688,-0.274,1,2,5,1
SEA-2003,SEA,2003,2003 Seattle Seahawks,NFC West,16,10-6,25.25,8.77,20.44,11.52,4.813,0.781,1,3,4,1
SF-2003,SF,2003,2003 San Francisco 49ers,NFC West,16,7-9,24,13.58,21.06,11.36,2.938,0.477,2,3,4,2
TB-2003,TB,2003,2003 Tampa Bay Buccaneers,NFC South,16,7-9,18.81,9.06,16.5,11.55,2.313,0.375,1,4,4,2
TEN-2003,TEN,2003,2003 Tennessee Titans,AFC South,16,12-4,27.19,9,20.25,9.69,6.938,1.126,1,2,6,2
WAS-2003,WAS,2003,2003 Washington Redskins,NFC East,16,5-11,17.94,8.36,23.25,7.01,-5.313,-0.862,1,4,4,1
ARI-2004,ARI,2004,2004 Arizona Cardinals,NFC West,16,6-10,17.75,9.73,20.13,10.32,-2.375,-0.416,1,4,4,1
ATL-2004,ATL,2004,2004 Atlanta Falcons,NFC South,16,11-5,21.25,11.64,21.06,12.27,0.188,0.033,1,3,4,1
BAL-2004,BAL,2004,2004 Baltimore Ravens,AFC North,16,9-7,19.81,10.5,16.75,6.53,3.063,0.536,1,5,4,2
BUF-2004,BUF,2004,2004 Buffalo Bills,AFC East,16,9-7,24.69,13.23,17.75,8.29,6.938,1.215,1,3,5,1
CAR-2004,CAR,2004,2004 Carolina Panthers,NFC South,16,7-9,22.19,10.23,21.19,7.17,1,0.175,1,1,5,2
CHI-2004,CHI,2004,2004 Chicago Bears,NFC North,16,5-11,14.44,7.63,20.69,7.62,-6.25,-1.094,0,4,4,3
CIN-2004,CIN,2004,2004 Cincinnati Bengals,AFC North,16,8-8,23.38,11.48,23.25,11.91,0.125,0.022,1,2,5,3
CLE-2004,CLE,2004,2004 Cleveland Browns,AFC North,16,4-12,17.25,12.24,24.38,14.15,-7.125,-1.247,1,2,4,2
DAL-2004,DAL,2004,2004 Dallas Cowboys,NFC East,16,6-10,18.31,9.62,25.31,11.89,-7,-1.225,1,3,3,1
DEN-2004,DEN,2004,2004 Denver Broncos,AFC West,16,10-6,23.81,9.23,19,11.03,4.813,0.843,1,3,4,3
DET-2004,DET,2004,2004 Detroit Lions,NFC North,16,6-10,18.5,6.42,21.88,9.46,-3.375,-0.591,1,4,5,2
GB-2004,GB,2004,2004 Green Bay Packers,NFC North,16,10-6,26.5,10.99,23.75,13.09,2.75,0.481,1,4,4,2
HOU-2004,HOU,2004,2004 Houston Texans,AFC South,16,7-9,19.31,6.84,21.19,12.36,-1.875,-0.328,1,2,5,2
IND-2004,IND,2004,2004 Indianapolis Colts,AFC South,16,12-4,32.63,10.77,21.94,10.33,10.688,1.871,1,3,3,2
JAX-2004,JAX,2004,2004 Jacksonville Jaguars,AFC South,16,9-7,16.31,7.6,17.5,8.51,-1.188,-0.208,1,2,5,2
KC-2004,KC,2004,2004 Kansas City Chiefs,AFC West,16,7-9,30.19,12.61,27.19,7.22,3,0.525,1,3,4,2
LAC-2004,LAC,2004,2004 San Diego Chargers,AFC West,16,12-4,27.88,8.85,19.56,9,8.313,1.455,1,2,3,2
LAR-2004,LAR,2004,2004 St. Louis Rams,NFC West,16,8-8,19.94,7.56,24.5,12.08,-4.563,-0.799,1,4,4,2
LV-2004,LV,2004,2004 Oakland Raiders,AFC West,16,5-11,20,9.95,27.63,8.54,-7.625,-1.335,1,5,4,2
MIA-2004,MIA,2004,2004 Miami Dolphins,AFC East,16,4-12,17.19,8.89,22.13,9.53,-4.938,-0.864,2,2,5,2
MIN-2004,MIN,2004,2004 Minnesota Vikings,NFC North,16,8-8,25.31,7.66,24.69,8.27,0.625,0.109,1,5,4,1
NE-2004,NE,2004,2004 New England Patriots,AFC East,16,14-2,27.31,7.38,16.25,9.41,11.063,1.937,1,3,5,2
NO-2004,NO,2004,2004 New Orleans Saints,NFC South,16,8-8,21.75,7.44,25.31,8.85,-3.563,-0.624,1,3,4,2
NYG-2004,NYG,2004,2004 New York Giants,NFC East,16,6-10,18.94,8.42,21.69,9.51,-2.75,-0.481,2,2,5,2
NYJ-2004,NYJ,2004,2004 New York Jets,AFC East,16,10-6,20.81,11.34,16.31,8.04,4.5,0.788,1,2,5,2
PHI-2004,PHI,2004,2004 Philadelphia Eagles,NFC East,16,13-3,24.13,13.25,16.25,9.36,7.875,1.379,1,3,4,2
PIT-2004,PIT,2004,2004 Pittsburgh Steelers,AFC North,16,15-1,23.25,7.15,15.69,8.95,7.563,1.324,1,2,5,0
SEA-2004,SEA,2004,2004 Seattle Seahawks,NFC West,16,9-7,23.19,9.7,23.31,11.97,-0.125,-0.022,1,3,4,2
SF-2004,SF,2004,2004 San Francisco 49ers,NFC West,16,2-14,16.19,10.09,28.25,7.63,-12.063,-2.112,2,4,4,2
TB-2004,TB,2004,2004 Tampa Bay Buccaneers,NFC South,16,5-11,18.81,8.41,19,10.83,-0.188,-0.033,1,1,4,2
TEN-2004,TEN,2004,2004 Tennessee Titans,AFC South,16,5-11,21.5,11.22,27.44,12.76,-5.938,-1.04,2,3,5,3
WAS-2004,WAS,2004,2004 Washington Redskins,NFC East,16,6-10,15,6.62,16.56,5.94,-1.563,-0.274,2,3,3,3
ARI-2005,ARI,2005,2005 Arizona Cardinals,NFC West,16,5-11,19.44,7.24,24.19,9.66,-4.75,-0.718,2,3,4,2
ATL-2005,ATL,2005,2005 Atlanta Falcons,NFC South,16,8-8,21.94,9.57,21.31,10.56,0.625,0.094,1,3,3,1
BAL-2005,BAL,2005,2005 Baltimore Ravens,AFC North,16,6-10,16.56,11.18,18.69,11.36,-2.125,-0.321,2,4,3,3
BUF-2005,BUF,2005,2005 Buffalo Bills,AFC East,16,5-11,16.94,8.84,22.94,11.53,-6,-0.907,2,3,5,1
CAR-2005,CAR,2005,2005 Carolina Panthers,NFC South,16,11-5,24.44,10.36,16.19,7.54,8.25,1.247,1,4,4,1
CHI-2005,CHI,2005,2005 Chicago Bears,NFC North,16,11-5,16.25,8.42,12.63,8.87,3.625,0.548,1,3,3,2
CIN-2005,CIN,2005,2005 Cincinnati Bengals,AFC North,16,11-5,26.31,10.92,21.88,11.67,4.438,0.671,1,2,5,3
CLE-2005,CLE,2005,2005 Cleveland Browns,AFC North,16,6-10,14.5,7.43,18.81,10.13,-4.313,-0.652,1,1,5,2
DAL-2005,DAL,2005,2005 Dallas Cowboys,NFC East,16,9-7,20.31,9.47,19.25,7.72,1.063,0.161,1,4,4,1
DEN-2005,DEN,2005,2005 Denver Broncos,AFC West,16,13-3,24.69,8.72,16.13,9.49,8.563,1.294,1,5,4,2
